genes,cycle_status
MCM5,s_phase
PCNA,s_phase
TYMS,s_phase
FEN1,s_phase
MCM7,s_phase
MCM4,s_phase
RRM1,s_phase
UNG,s_phase
GINS2,s_phase
MCM6,s_phase
CDCA7,s_phase
DTL,s_phase
PRIM1,s_phase
UHRF1,s_phase
CENPU,s_phase
HELLS,s_phase
RFC2,s_phase
RPA2,s_phase
NASP,s_phase
RAD51AP1,s_phase
GMNN,s_phase
WDR76,s_phase
SLBP,s_phase
CCNE2,s_phase
UBR7,s_phase
POLD3,s_phase
MSH2,s_phase
ATAD2,s_phase
RAD51,s_phase
RRM2,s_phase
CDC45,s_phase
CDC6,s_phase
EXO1,s_phase
TIPIN,s_phase
DSCC1,s_phase
BLM,s_phase
CASP8AP2,s_phase
USP1,s_phase
CLSPN,s_phase
POLA1,s_phase
CHAF1B,s_phase
BRIP1,s_phase
E2F8,s_phase
HMGB2,g2m_phase
CDK1,g2m_phase
NUSAP1,g2m_phase
UBE2C,g2m_phase
BIRC5,g2m_phase
TPX2,g2m_phase
TOP2A,g2m_phase
NDC80,g2m_phase
CKS2,g2m_phase
NUF2,g2m_phase
CKS1B,g2m_phase
MKI67,g2m_phase
TMPO,g2m_phase
CENPF,g2m_phase
TACC3,g2m_phase
PIMREG,g2m_phase
SMC4,g2m_phase
CCNB2,g2m_phase
CKAP2L,g2m_phase
CKAP2,g2m_phase
AURKB,g2m_phase
BUB1,g2m_phase
KIF11,g2m_phase
ANP32E,g2m_phase
TUBB4B,g2m_phase
GTSE1,g2m_phase
KIF20B,g2m_phase
HJURP,g2m_phase
CDCA3,g2m_phase
JPT1,g2m_phase
CDC20,g2m_phase
TTK,g2m_phase
CDC25C,g2m_phase
KIF2C,g2m_phase
RANGAP1,g2m_phase
NCAPD2,g2m_phase
DLGAP5,g2m_phase
CDCA2,g2m_phase
CDCA8,g2m_phase
ECT2,g2m_phase
KIF23,g2m_phase
HMMR,g2m_phase
AURKA,g2m_phase
PSRC1,g2m_phase
ANLN,g2m_phase
LBR,g2m_phase
CKAP5,g2m_phase
CENPE,g2m_phase
CTCF,g2m_phase
NEK2,g2m_phase
G2E3,g2m_phase
GAS2L3,g2m_phase
CBX5,g2m_phase
CENPA,g2m_phase